Entity_Type_SQL,Object_Type_SQL,Example,Regular Expression,Object1,Object2,Object3,Object4,Object5,Object6,Merge-Columns1,Merge-Columns2,Merge-Columns3
BSC6900GSM,GCU Subsystem,,,,,,,,,,,
BSC6900GSM,SCU Subsystem,,,,,,,,,,,
BSC6900GSM,DPU Subsystem,,,,,,,,,,,
BSC6900GSM,XPU Subsystem,,,,,,,,,,,
BSC6900GSM,Interface Board Subsystem,,,,,,,,,,,
BSC6900GSM,NIU DSP,,,,,,,,,,,
BSC6900GSM,NIU Subsystem,,,,,,,,,,,
BSC6900GSM,ASU Subsystem,,,,,,,,,,,
BSC6900GSM,SCCP OSP,,,,,,,,,,,
BSC6900GSM,IP Path,,,,,,,,,,,
BSC6900GSM,SCTP Link,,,,,,,,,,,
BSC6900GSM,IP Transport Adjacent Node Connection,,,,,,,,,,,
BSC6900GSM,M3UA Link,,,,,,,,,,,
BSC6900GSM,M3UA Link Set,,,,,,,,,,,
BSC6900GSM,M3UA Destination Entity,,,,,,,,,,,
BSC6900GSM,MTP3 Destination Signaling Point,,,,,,,,,,,
BSC6900GSM,MTP3 Link,,,,,,,,,,,
BSC6900GSM,MTP3 Link Set,,,,,,,,,,,
BSC6900GSM,Interface Board for Transport Resource Management Result,,,,,,,,,,,
BSC6900GSM,SCTP LinkIP Layer,,,,,,,,,,,
BSC6900GSM,MP Group,,,,,,,,,,,
BSC6900GSM,PPP Link,,,,,,,,,,,
BSC6900GSM,IPPath IP Layer,,,,,,,,,,,
BSC6900GSM,SDH,,,,,,,,,,,
BSC6900GSM,Logic Port,,,,,,,,,,,
BSC6900GSM,IPPath RTP,,,,,,,,,,,
BSC6900GSM,IPPath PM,,,,,,,,,,,
BSC6900GSM,Logic Port Queue,,,,,,,,,,,
BSC6900GSM,MP Queue,,,,,,,,,,,
BSC6900GSM,PPP Link Queue,,,,,,,,,,,
BSC6900GSM,HDLC Link,,,,,,,,,,,
BSC6900GSM,InterSubrack Traffic,,,,,,,,,,,
BSC6900GSM,Transmission Resource Pool Adjacent Node,,,,,,,,,,,
BSC6900GSM,Transmission Resource Pool Local IP Address,,,,,,,,,,,
BSC6900GSM,Transmission Resource Pool IP Address RTP,,,,,,,,,,,
BSC6900GSM,TWAMP,,,,,,,,,,,
BSC6900GSM,Local IP Address,,,,,,,,,,,
BSC6900GSM,E1T1 Electrical Port,,,,,,,,,,,
BSC6900GSM,FEGE Ethernet Port,,,,,,,,,,,
BSC6900GSM,E1T1 Port Bit Error,,,,,,,,,,,
BSC6900GSM,Channelized Optical Port,,,,,,,,,,,
BSC6900GSM,NonChannelized Optical Port,,,,,,,,,,,
BSC6900GSM,Trunk Group,,,,,,,,,,,
BSC6900GSM,Integrated Firewall,,,,,,,,,,,
BSC6900GSM,LAPD Link,,,,,,,,,,,
BSC6900GSM,Site,,,,,,,,,,,
BSC6900GSM,GSM Cell,"KHC-BSC1/GCELL:LABEL=KRT-Palace-G-5015-5, CellIndex=343, CGI=6340703EAC3E9","^(.*?)\/GCELL\:LABEL\=(.*?)\,.*?$",NE_Name,Cell_Name,,,,,,,
BSC6900GSM,TRX,"KHC-BSC1/Cell:LABEL=KRT-KhartoumSouth-01-G-1017-3, CellIndex=92, CGI=6340703EB27BD/TRX:TRX Index=1826, TRX Name=KRT-KhartoumSouth-01-G-1017-32","^(.*?)\/Cell\:LABEL\=(.*?)\,.*?\/TRX\:TRX\sIndex\=(\d*)\,.*?$",NE_Name,Cell_Name,TRX_Index,,,,,,
BSC6900GSM,DPC Group,,,,,,,,,,,
BSC6900GSM,AInterface Timeslot,,,,,,,,,,,
BSC6900GSM,PCU,,,,,,,,,,,
BSC6900GSM,Abis Interface,,,,,,,,,,,
BSC6900GSM,SCCP Destination Signaling Point,,,,,,,,,,,
BSC6900GSM,BSC,,,,,,,,,,,
BSC6900GSM,,,,,,,,,,,,
BSC6900GSM,GSM CelltoGSM Cell Handover,,,,,,,,,,,
BSC6900GSM,Neighboring GSM Cell,,,,,,,,,,,
BSC6900GSM,BSC Report,,,,,,,,,,,
BSC6900GSM,BC,,,,,,,,,,,
BSC6900GSM,NSVC,,,,,,,,,,,
BSC6900GSM,NSVL,,,,,,,,,,,
BSC6900GSM,GSM DSP,,,,,,,,,,,
BSC6900GSM,TNU Subsystem,,,,,,,,,,,
BSC6900GSM,MTP2 Link,,,,,,,,,,,
BSC6900GSM,BTS MP Group,,,,,,,,,,,
BSC6900GSM,BTS PPP Link,,,,,,,,,,,
BSC6900GSM,BTS Transmission Board FEGE Port,,,,,,,,,,,
BSC6900GSM,BTS Tunnel,,,,,,,,,,,
BSC6900GSM,BTS Connection,,,,,,,,,,,
BSC6900GSM,BTS IPPM,,,,,,,,,,,
BSC6900GSM,BTS IPPMat Operator Level,,,,,,,,,,,
BSC6900GSM,Base Station IP Layer,,,,,,,,,,,
BSC6900GSM,Ater Interface Circuit,,,,,,,,,,,
BSC6900GSM,TC Resource,,,,,,,,,,,
BSC6900GSM,CellSCCP DSP,,,,,,,,,,,
BSC6900GSM,GSM CPUS,,,,,,,,,,,
BSC6900GSM,TRXLocation Group,,,,,,,,,,,
BSC6900GSM,Neighboring UMTS Cell,,,,,,,,,,,
BSC6900GSM,2G BA2 List Based Cell,,,,,,,,,,,
BSC6900GSM,FDD BA2 List Based Cell,,,,,,,,,,,
BSC6900GSM,CellLocation Group,,,,,,,,,,,
BSC6900GSM,CellSGSN Node,,,,,,,,,,,
BSC6900GSM,SGSN Pool,,,,,,,,,,,
BSC6900GSM,Cell Operator,,,,,,,,,,,
BSC6900UMTS,Cell,"KHN_RNC/BSC6900UCell:Label=KHN-Shambat-03-W-32285, CellID=32285","^(.*?)\/BSC69\d0UCell\:Label\=(.*?)\,\sCellID\=.*",NE_Name,Cell_Name,,,,,,,
BSC6900UMTS,NodeB,"KHS_RNC/NODEB:NodeB Name=GAZ-ElBagair-01-W-1065, LogicRNCID=",^(.*?)\/NODEB\:NodeB\sName\=(.*?)$,NE_Name,NE_Name,,,,,,,
BSC6900UMTS,RNC,KHS_RNC/BSC6910UMTSFunction:RNC ID=1,^(.*?)\/BSC6900UMTSFunction\:(.*?)$,NE_Name,,,,,,,,
BSC6900UMTS,CPUS Subsystem,,,,,,,,,,,
BSC6900UMTS,GCU Subsystem,,,,,,,,,,,
BSC6900UMTS,SCU Subsystem,,,,,,,,,,,
BSC6900UMTS,DPU Subsystem,,,,,,,,,,,
BSC6900UMTS,MPU Subsystem,,,,,,,,,,,
BSC6900UMTS,UMTS DSP,,,,,,,,,,,
BSC6900UMTS,XPU Subsystem,,,,,,,,,,,
BSC6900UMTS,Interface Board Subsystem,,,,,,,,,,,
BSC6900UMTS,NIU DSP,,,,,,,,,,,
BSC6900UMTS,NIU Subsystem,,,,,,,,,,,
BSC6900UMTS,DEU Subsystem,,,,,,,,,,,
BSC6900UMTS,DEU DSP,,,,,,,,,,,
BSC6900UMTS,ASU Subsystem,,,,,,,,,,,
BSC6900UMTS,GTPU,,,,,,,,,,,
BSC6900UMTS,UMTS CelltoGSM Cell Handover,,,,,,,,,,,
BSC6900UMTS,UMTS CelltoLTE Cell Handover,,,,,,,,,,,
BSC6900UMTS,Iur Interface,,,,,,,,,,,
BSC6900UMTS,UMTS CelltoUMTS Cell Handover,,,,,,,,,,,
BSC6900UMTS,CNOperator,,,,,,,,,,,
BSC6900UMTS,NodeBLevel CNOperator,,,,,,,,,,,
BSC6900UMTS,Load Sharing Node,,,,,,,,,,,
BSC6900UMTS,ROAMCNOperator,,,,,,,,,,,
BSC6900UMTS,RNC Node,,,,,,,,,,,
BSC6900UMTS,Iu Interface,,,,,,,,,,,
BSC6900UMTS,UMTS NIU DSP,,,,,,,,,,,
BSC6900UMTS,QAAL2 Adjacent Node,,,,,,,,,,,
BSC6900UMTS,SAAL Link,,,,,,,,,,,
BSC6900UMTS,SCCP OSP,,,,,,,,,,,
BSC6900UMTS,AAL2Path,,,,,,,,,,,
BSC6900UMTS,IP Path,,,,,,,,,,,
BSC6900UMTS,SCTP Link,,,,,,,,,,,
BSC6900UMTS,DualStack Transport Adjacent Node,,,,,,,,,,,
BSC6900UMTS,IP Transport Adjacent Node Connection,,,,,,,,,,,
BSC6900UMTS,M3UA Link,,,,,,,,,,,
BSC6900UMTS,M3UA Link Set,,,,,,,,,,,
BSC6900UMTS,M3UA Destination Entity,,,,,,,,,,,
BSC6900UMTS,MTP3 Destination Signaling Point,,,,,,,,,,,
BSC6900UMTS,MTP3 Link,,,,,,,,,,,
BSC6900UMTS,MTP3 Link Set,,,,,,,,,,,
BSC6900UMTS,Interface Board for Transport Resource Management Result,,,,,,,,,,,
BSC6900UMTS,Fractional ATM Link,,,,,,,,,,,
BSC6900UMTS,Fractioanl IMA Link,,,,,,,,,,,
BSC6900UMTS,IMA Group,,,,,,,,,,,
BSC6900UMTS,IMA Link,,,,,,,,,,,
BSC6900UMTS,UNI Link,,,,,,,,,,,
BSC6900UMTS,IPoA Link,,,,,,,,,,,
BSC6900UMTS,SCTP LinkIP Layer,,,,,,,,,,,
BSC6900UMTS,AAL2Path ATM Layer,,,,,,,,,,,
BSC6900UMTS,MP Group,,,,,,,,,,,
BSC6900UMTS,PPP Link,,,,,,,,,,,
BSC6900UMTS,IPPath IP Layer,,,,,,,,,,,
BSC6900UMTS,SDH,,,,,,,,,,,
BSC6900UMTS,VC Cross Connection,,,,,,,,,,,
BSC6900UMTS,SAAL Link ATM Layer,,,,,,,,,,,
BSC6900UMTS,Logic Port,,,,,,,,,,,
BSC6900UMTS,IPPath RTP,,,,,,,,,,,
BSC6900UMTS,NodeB OAM Flow,,,,,,,,,,,
BSC6900UMTS,IPPath PM,,,,,,,,,,,
BSC6900UMTS,Logic Port Queue,,,,,,,,,,,
BSC6900UMTS,MP Queue,,,,,,,,,,,
BSC6900UMTS,PPP Link Queue,,,,,,,,,,,
BSC6900UMTS,ATM Logical Port,,,,,,,,,,,
BSC6900UMTS,InterSubrack Traffic,,,,,,,,,,,
BSC6900UMTS,Transmission Resource Pool Adjacent Node,,,,,,,,,,,
BSC6900UMTS,Transmission Resource Pool IPPM,,,,,,,,,,,
BSC6900UMTS,Transmission Resource Pool Local IP Address,,,,,,,,,,,
BSC6900UMTS,Transmission Resource Pool IP Address RTP,,,,,,,,,,,
BSC6900UMTS,SAAL VCL PM,,,,,,,,,,,
BSC6900UMTS,AAL2Path VCL PM,,,,,,,,,,,
BSC6900UMTS,IPoAPVC VCL PM,,,,,,,,,,,
BSC6900UMTS,Iurp Link,,,,,,,,,,,
BSC6900UMTS,TWAMP,,,,,,,,,,,
BSC6900UMTS,Local IP Address,,,,,,,,,,,
BSC6900UMTS,E1T1 Electrical Port,,,,,,,,,,,
BSC6900UMTS,FEGE Ethernet Port,,,,,,,,,,,
BSC6900UMTS,E1T1 Port Bit Error,,,,,,,,,,,
BSC6900UMTS,Channelized Optical Port,,,,,,,,,,,
BSC6900UMTS,NonChannelized Optical Port,,,,,,,,,,,
BSC6900UMTS,Trunk Group,,,,,,,,,,,
BSC6900UMTS,Integrated Firewall,,,,,,,,,,,
BSC6910GSM,,,,,,,,,,,,
BSC6910UMTS,Cell,,,,,,,,,,,
BSC6910UMTS,NodeB,,,,,,,,,,,
BSC6910UMTS,,,,,,,,,,,,
BSC6910UMTS,RNC,KHS_RNC/BSC6910UMTSFunction:RNC ID=1,^(.*?)\/BSC6910UMTSFunction\:RNC\sID\=.*?$,NE_Name,,,,,,,,
BSC6910UMTS,Interface Board,,,,,,,,,,,
BSC6910UMTS,Board CPU,,,,,,,,,,,
BSC6910UMTS,Subsystem,,,,,,,,,,,
BSC6910UMTS,UMTS CP Subsystem,,,,,,,,,,,
BSC6910UMTS,UMTS UP Subsystem,,,,,,,,,,,
BSC6910UMTS,RNC Node,,,,,,,,,,,
BSC6910UMTS,GTPU,,,,,,,,,,,
BSC6910UMTS,UMTS CelltoGSM Cell Handover,,,,,,,,,,,
BSC6910UMTS,UMTS CelltoLTE Cell Handover,,,,,,,,,,,
BSC6910UMTS,Iur Interface,,,,,,,,,,,
BSC6910UMTS,UMTS CelltoUMTS Cell Handover,,,,,,,,,,,
BSC6910UMTS,CNOperator,,,,,,,,,,,
BSC6910UMTS,NodeBLevel CNOperator,,,,,,,,,,,
BSC6910UMTS,Load Sharing Node,,,,,,,,,,,
BSC6910UMTS,ROAMCNOperator,,,,,,,,,,,
BSC6910UMTS,Iu Interface,,,,,,,,,,,
BSC6910UMTS,UMTS NIU Subsystem,,,,,,,,,,,
BSC6910UMTS,QAAL2 Adjacent Node,,,,,,,,,,,
BSC6910UMTS,SAAL Link,,,,,,,,,,,
BSC6910UMTS,SCCP OSP,,,,,,,,,,,
BSC6910UMTS,AAL2Path,,,,,,,,,,,
BSC6910UMTS,SCTP Link,,,,,,,,,,,
BSC6910UMTS,DualStack Transport Adjacent Node,,,,,,,,,,,
BSC6910UMTS,IP Transport Adjacent Node Connection,,,,,,,,,,,
BSC6910UMTS,M3UA Link,,,,,,,,,,,
BSC6910UMTS,M3UA Link Set,,,,,,,,,,,
BSC6910UMTS,M3UA Destination Entity,,,,,,,,,,,
BSC6910UMTS,MTP3 Destination Signaling Point,,,,,,,,,,,
BSC6910UMTS,MTP3 Link,,,,,,,,,,,
BSC6910UMTS,MTP3 Link Set,,,,,,,,,,,
BSC6910UMTS,Interface Board for Transport Resource Management Result,,,,,,,,,,,
BSC6910UMTS,Fractional ATM Link,,,,,,,,,,,
BSC6910UMTS,IMA Group,,,,,,,,,,,
BSC6910UMTS,IMA Link,,,,,,,,,,,
BSC6910UMTS,UNI Link,,,,,,,,,,,
BSC6910UMTS,IPoA Link,,,,,,,,,,,
BSC6910UMTS,SCTP LinkIP Layer,,,,,,,,,,,
BSC6910UMTS,AAL2Path ATM Layer,,,,,,,,,,,
BSC6910UMTS,SDH,,,,,,,,,,,
BSC6910UMTS,SAAL Link ATM Layer,,,,,,,,,,,
BSC6910UMTS,Logic Port,,,,,,,,,,,
BSC6910UMTS,NodeB OAM Flow,,,,,,,,,,,
BSC6910UMTS,Logic Port Queue,,,,,,,,,,,
BSC6910UMTS,ATM Logical Port,,,,,,,,,,,
BSC6910UMTS,InterSubrack Traffic,,,,,,,,,,,
BSC6910UMTS,Transmission Resource Pool Adjacent Node,,,,,,,,,,,
BSC6910UMTS,Transmission Resource Pool IPPM,,,,,,,,,,,
BSC6910UMTS,Transmission Resource Pool Local IP Address,,,,,,,,,,,
BSC6910UMTS,Transmission Resource Pool IP Address RTP,,,,,,,,,,,
BSC6910UMTS,SAAL VCL PM,,,,,,,,,,,
BSC6910UMTS,AAL2Path VCL PM,,,,,,,,,,,
BSC6910UMTS,IPoAPVC VCL PM,,,,,,,,,,,
BSC6910UMTS,Iurp Link,,,,,,,,,,,
BSC6910UMTS,TWAMP,,,,,,,,,,,
BSC6910UMTS,Local IP Address,,,,,,,,,,,
BSC6910UMTS,FEGE Ethernet Port,,,,,,,,,,,
BSC6910UMTS,E1T1 Port Bit Error,,,,,,,,,,,
BSC6910UMTS,Channelized Optical Port,,,,,,,,,,,
BSC6910UMTS,NonChannelized Optical Port,,,,,,,,,,,
BSC6910UMTS,Trunk Group,,,,,,,,,,,
BSC6910UMTS,Integrated Firewall,,,,,,,,,,,
BTS3900,Local Cell,"KRT-EKalaklaGubbaB.4-W-2750/ULoCell:NodeB Function Name=KRT-EKalaklaGubbaB.4-W-2750, Local Cell ID=27506, Cell Name=N/A","^(.*)\/ULoCell\:NodeB\sFunction\sName\=.*\,\sLocal\sCell\sID\=(\d+)\,?.*$|^(.*)\/LocalCell\:LOCELL\=(\d+)$",NE_Name,Local_Cell_ID,NE_Name1,Local_Cell_ID1,,,NE_Name+NE_Name1,Local_Cell_ID+Local_Cell_ID1,
BTS3900,,,,,,,,,,,,
BTS3900,NodeB,KRT-EKalaklaGubbaB.4-W-2750/NodeBFunction:NodeB Function Name=KRT-EKalaklaGubbaB.4-W-2750,^(.*?)\/NodeBFunction\:NodeB\sFunction\sName\=(.*?)$|^(.*?)\/NodeB\:(.*?)$,NE_Name,NE_Name1,,,,,NE_Name+NE_Name1,,
BTS3900,CNOperator,,,,,,,,,,,
BTS3900,UL Resource Group,,,,,,,,,,,
BTS3900,NodeB Board,,,,,,,,,,,
BTS3900,LoCell_SectorEQM,,,,,,,,,,,
BTS3900,LoCell_SectorEQMGRP,,,,,,,,,,,
BTS3900,UMTS ULCoMP Group,,,,,,,,,,,
BTS3900,Cell,"KRT-FaihaaBlding-01-WL-1006/Cell:eNodeB Function Name=KRT-FaihaaBlding-01-L-1006, Local Cell ID=7, Cell Name=KRT-FaihaaBlding-01-L-1006-B3, eNodeB ID=1006, Cell FDD TDD indication=CELL_FDD","^(.*?)\/Cell\:eNodeB\sFunction\sName\=.*?\,\sLocal\sCell\sID\=.*?\,\sCell\sName\=(.*?)\,\seNodeB\sID\=.*$",NE_Name,Cell_Name,,,,,,,
BTS3900,IntraRAT InterCell Handover,,,,,,,,,,,
BTS3900,EUTRAN CelltoGERAN Cell Handover,,,,,,,,,,,
BTS3900,EUTRAN CelltoWCDMA Cell Handover,,,,,,,,,,,
BTS3900,eNodeB,,,,,,,,,,,
BTS3900,Board Service,,,,,,,,,,,
BTS3900,Cell Sector Equipment,,,,,,,,,,,
BTS3900,Cell Sector Equipment Group,,,,,,,,,,,
BTS3900,GTPU,,,,,,,,,,,
BTS3900,S1 Link,,,,,,,,,,,
BTS3900,X2 Link,,,,,,,,,,,
BTS3900,Ethernet Port,,,,,,,,,,,
BTS3900,E1T1 Port,,,,,,,,,,,
BTS3900,Trunk,,,,,,,,,,,
BTS3900,SRIO Port,,,,,,,,,,,
BTS3900,PPP Link,,,,,,,,,,,
BTS3900,MP Group,,,,,,,,,,,
BTS3900,IMAGRP,,,,,,,,,,,
BTS3900,ETHDM,,,,,,,,,,,
BTS3900,ETHLM,,,,,,,,,,,
BTS3900,IP Layer,,,,,,,,,,,
BTS3900,IPv6,,,,,,,,,,,
BTS3900,Tunnel,,,,,,,,,,,
BTS3900,IPPath,,,,,,,,,,,
BTS3900,Resource Group,,,,,,,,,,,
BTS3900,IPPM,,,,,,,,,,,
BTS3900,IPv6 Path,,,,,,,,,,,
BTS3900,OMCH,,,,,,,,,,,
BTS3900,AAL2Path,,,,,,,,,,,
BTS3900,SAAL,,,,,,,,,,,
BTS3900,IPoA,,,,,,,,,,,
BTS3900,Integrated Firewall,,,,,,,,,,,
BTS3900,SCTP Link,,,,,,,,,,,
BTS3900,UserPlaneHostIP,,,,,,,,,,,
BTS3900,BS TWAMP,,,,,,,,,,,
BTS3900,GPM,,,,,,,,,,,
BTS3900,Power Sharing Group,,,,,,,,,,,
BTS3900,eGBTS,,,,,,,,,,,
BTS3900,Node,,,,,,,,,,,
BTS3900,GNSS,,,,,,,,,,,
BTS3900,RF Module,,,,,,,,,,,
BTS3900,CXU,,,,,,,,,,,
BTS3900,BBU Board,,,,,,,,,,,
MSCServer,,,,,,,,,,,,
USN,,,,,,,,,,,,
